FID,ZIPCODE,Cnt_ZIPCODE,Ave_heightroof,SD_heightroof
-1,00083,52,22.691033436730773,15.489563807267036
-1,10001,1038,98.563079249932585,94.992817543920722
-1,10002,1855,61.816464189681838,39.948433498228084
-1,10003,2008,69.529656823246896,41.073329771240516
-1,10004,266,91.057919462669176,135.765472560381284
-1,10005,66,331.696512861060626,207.357044192680831
-1,10006,63,187.632868108412765,185.499812907461973
-1,10007,228,135.865351247499945,139.575599237205665
-1,10009,1478,57.079896832895862,25.656248688088546
-1,10010,658,102.266596118784165,81.762024452138121
-1,10011,2256,65.836461029556645,40.363591299711487
-1,10012,1330,66.278722929300940,31.483058671613147
-1,10013,1691,73.172228600526338,45.950954600317331
-1,10014,2149,52.201083823015260,27.676128230833992
-1,10016,1441,91.044252187897371,82.411787164603240
-1,10017,466,173.202180991974359,170.002042293701578
-1,10018,665,125.154430575699209,105.697728796446853
-1,10019,1233,108.207461832619757,138.236996936701587
-1,10020,16,219.682848213124998,212.091400763790318
-1,10021,1276,83.914039270282231,63.023512987022052
-1,10022,1082,118.940584793641307,128.766484200006204
-1,10023,1292,88.674705439233733,74.301591739498420
-1,10024,1845,73.078331317203222,40.098024089453645
-1,10025,1773,75.151721700800863,42.641938231258329
-1,10026,1140,58.648915628350800,21.941516794856128
-1,10027,2289,57.529638831834767,30.318662685614779
-1,10028,1310,75.594293723091724,51.921637452448358
-1,10029,1576,63.653649677823509,44.779262964562385
-1,10030,1269,49.863672334838483,20.194112550170882
-1,10031,1669,55.173173913529098,25.418725160709002
-1,10032,1023,61.026676847927639,32.702020472615850
-1,10033,787,58.073281593532414,28.111481329471307
-1,10034,628,46.999391304665622,24.540284625541126
-1,10035,1533,48.115502094657550,28.363323579793651
-1,10036,1058,94.276703031861928,115.709176605866006
-1,10037,299,63.138944284080281,35.325869085400008
-1,10038,382,111.525968964240960,113.217341542976627
-1,10039,343,64.357143320145767,39.996332520175486
-1,10040,486,54.617004442551433,27.481997588854682
-1,10041,1,710.639999999999986,0.000000000000000
-1,10043,1,344.170000000000016,0.000000000000000
-1,10044,65,81.364008082461581,73.483516702574747
-1,10045,1,257.220000000000027,0.000000000000000
-1,10047,2,133.729999999999990,0.000000000000000
-1,10048,9,316.148612774444473,509.934148942962395
-1,10055,1,585.370000000000005,0.000000000000000
-1,10065,1283,80.754447187085077,64.880094712405011
-1,10069,21,287.634587646666773,138.449531550034834
-1,10075,618,79.542009117378740,55.795879352717293
-1,10080,2,551.300379304999979,604.084435420383215
-1,10081,1,820.306217850000053,0.000000000000000
-1,10096,1,626.740000000000009,0.000000000000000
-1,10097,1,665.350000000000023,0.000000000000000
-1,10103,1,480.589999999999975,0.000000000000000
-1,10104,1,568.149999999999977,0.000000000000000
-1,10105,1,643.389999999999986,0.000000000000000
-1,10106,1,592.220000000000027,0.000000000000000
-1,10107,1,318.360000000000014,0.000000000000000
-1,10110,1,704.759999999999991,0.000000000000000
-1,10111,1,511.420000000000016,0.000000000000000
-1,10112,2,436.004999999999995,563.641886351608832
-1,10115,1,242.428142199999996,0.000000000000000
-1,10118,1,1238.790327160000061,0.000000000000000
-1,10119,3,257.337091666666709,408.114009479720437
-1,10120,1,336.689999999999998,0.000000000000000
-1,10121,3,164.537360026666676,231.723211344299273
-1,10122,1,292.530502000000013,0.000000000000000
-1,10123,1,561.141042999999968,0.000000000000000
