FID,ZIPCODE,Cnt_ZIPCODE,Ave_heightroof,SD_heightroof
-1,11220,9790,29.433988256064296,10.600037366682646
-1,11221,9406,33.863850544882041,9.562809294462415
-1,11222,5673,33.358744525536700,14.724953211446651
-1,11223,13841,23.824952935377443,9.934862037546957
-1,11224,3313,26.632908650452816,22.113457358262625
-1,11225,4609,29.660278460125848,14.334426746937964
-1,11226,6657,30.481817217730306,14.006507381109566
-1,11228,12081,22.904443329148307,8.929609914441615
-1,11229,15946,23.540816738939562,9.974728065365751
-1,11230,11268,26.464520990061192,12.053234168463593
-1,11231,4755,35.925203491671844,12.597357649030085
-1,11232,3303,30.183247522637000,13.412563971832565
-1,11233,7876,32.744484329570966,9.902846177309918
-1,11234,24775,22.726613298352802,7.795615460099508
-1,11235,9361,26.138252224629760,12.724399093913622
-1,11236,16553,24.732144510463286,7.767148807477264
-1,11237,4540,31.761120420387684,10.951409142088071
-1,11238,4632,39.322599742970688,15.009648697079500
-1,11239,383,41.177334559817247,41.515393449597724
-1,11249,1814,41.721157461334023,28.633418391614189
-1,11251,130,36.936459735692324,29.887940789498227
-1,11354,6816,26.008899625035134,15.202376902061356
-1,11355,9239,25.037460200674197,12.827812962160364
-1,11356,6193,23.997372020476369,8.982101372016437
-1,11357,14204,22.081259739130449,8.521933566393706
-1,11358,13174,22.143900903008138,8.573035639774265
-1,11359,105,29.559660321904762,11.614382807524832
-1,11360,3970,24.550175674397899,9.941867520076933
-1,11361,8883,22.133664009805312,8.179216595558929
-1,11362,5711,23.864097871479572,7.939170933549948
-1,11363,2777,23.497557924180747,8.241957451838834
-1,11364,10642,22.173307354184352,7.589561120552052
-1,11365,10293,21.150413092715397,8.977695744272150
-1,11366,5530,19.919424337112105,7.580195945902307
-1,11367,7521,24.761687152949111,8.189574734282962
-1,11368,9812,25.169286557765009,11.682920274392357
-1,11369,7301,21.738411554169311,8.427573472967653
-1,11370,5722,22.864908073795863,7.321174173464354
-1,11371,51,33.089634157254899,36.896488746146950
-1,11372,3674,29.948011845846544,15.622834322252972
-1,11373,8925,26.399661278424677,11.465327704734989
-1,11374,4445,24.183825755091139,15.039588621664674
-1,11375,9746,25.515342789151418,14.290210815402659
-1,11377,9972,25.601883421584546,10.864107889542208
-1,11378,10698,21.812173246449756,7.883342931200231
-1,11379,11095,22.024798386896890,7.506481516787624
-1,11385,19581,23.414541457169197,9.318933693875605
-1,11411,8458,19.221406616131485,7.204496097499781
-1,11412,14031,20.859121176705894,8.089465714025568
-1,11413,15072,19.890697066131342,7.451166778352257
-1,11414,6756,23.214390704733553,7.017561189209726
-1,11415,2046,26.640091881827942,16.761680422983627
-1,11416,5501,22.313721096311614,8.345665447884494
-1,11417,8638,21.031853399108588,8.124378685533664
-1,11418,7536,23.848348011422328,10.367409180870601
-1,11419,12217,21.573827360972292,8.600880748538724
-1,11420,14767,20.501093706661560,7.813656923104935
-1,11421,8660,23.494403033165124,8.628924969345144
-1,11422,9633,20.938874715265257,7.140055371257116
-1,11423,8581,21.947498102160644,8.603205024932807
-1,11426,8316,20.232525952032265,8.392732866875658
-1,11427,6855,21.711337809636802,7.877807320507286
-1,11428,7438,20.401612073168852,8.225501383333834
-1,11429,9354,20.568947084145879,8.005021952940409
-1,11430,247,27.385503764170060,31.482584478906318
-1,11432,9947,23.985563475851972,11.918892763341708
-1,11433,8204,23.007218384005409,8.861901441536386
-1,11434,14359,21.310652350381723,8.380299106032831
-1,11435,8526,23.584613573952662,10.353305771997645
-1,11436,6129,21.168632767402482,7.691002025480201
-1,11451,3,48.797247416666664,34.923722355121967
-1,11691,7379,25.184217806831594,12.234858229100150
-1,11692,2538,27.947268439113504,13.637907098673811
-1,11693,2119,24.065323598513466,11.157972121838334
-1,11694,5745,23.354030980577864,10.236581650181030
-1,11697,2762,20.127956166868227,6.578572647862793
