FID,ZIPCODE_1,Cnt_ZIPCODE_1,Ave_ComArea,Ave_ResArea
-1,10001,925,65236.810810810813564,19353.579459459459031
-1,10002,1598,7603.965581977471629,19476.421151439299138
-1,10003,1824,12278.667763157895024,15263.144188596490494
-1,10004,97,280936.268041237141006,23788.917525773194939
-1,10005,63,316799.555555555562023,113196.015873015872785
-1,10006,59,120118.610169491526904,48107.288135593218612
-1,10007,203,109422.546798029550700,29726.566502463054348
-1,10009,1195,3456.409205020920581,22600.965690376568091
-1,10010,561,41576.012477718359150,33507.049910873443878
-1,10011,2004,11931.481536926146873,16220.235029940120512
-1,10012,1197,10871.714285714286234,11338.462823725982162
-1,10013,1525,19241.280655737704365,13880.719344262295635
-1,10014,1847,6585.286410395235180,9805.575527883052928
-1,10016,1317,25921.462414578589232,26675.599088838269381
-1,10017,428,138137.579439252323937,24992.960280373830756
-1,10018,584,79925.222602739726426,11164.556506849314246
-1,10019,1070,59242.112149532709736,35185.335514018690446
-1,10020,9,845398.666666666627862,0.000000000000000
-1,10021,1202,8927.572379367720714,29883.135607321131829
-1,10022,1001,53445.092907092905079,31497.820179820180783
-1,10023,1219,10726.771944216570773,38186.278917145202286
-1,10024,1728,3385.982060185185219,22745.239004629631381
-1,10025,1570,14648.794904458598467,31471.640764331208629
-1,10026,1011,2609.861523244312593,15353.439169139466685
-1,10027,2071,8293.955094157412532,12165.665861902461984
-1,10028,1239,3901.721549636803957,27527.913640032285912
-1,10029,1348,10191.180267062314670,23412.034124629080907
-1,10030,1056,2163.928977272727479,11324.417613636363967
-1,10031,1568,3463.815051020408191,13193.827168367346530
-1,10032,960,14094.475000000000364,21868.796875000000000
-1,10033,725,6054.718620689654927,26895.893793103448843
-1,10034,496,8450.836693548386393,27522.046370967742405
-1,10035,1283,7144.771628994543789,10735.964925954793216
-1,10036,916,49632.158296943234745,17022.263100436681270
-1,10037,251,15854.984063745019739,33260.023904382469482
-1,10038,294,55468.442176870747062,42812.244897959186346
-1,10039,248,7206.500000000000000,45401.443548387098417
-1,10040,410,7912.465853658536616,34324.807317073173181
-1,10041,1,3583167.000000000000000,0.000000000000000
-1,10043,1,990250.000000000000000,0.000000000000000
-1,10044,15,142402.333333333343035,464118.799999999988358
-1,10045,1,640000.000000000000000,0.000000000000000
-1,10047,2,106453.000000000000000,0.000000000000000
-1,10048,1,8837499.000000000000000,0.000000000000000
-1,10055,1,1064223.000000000000000,0.000000000000000
-1,10065,1140,15025.895614035087419,25309.489473684210679
-1,10069,18,80558.388888888890506,375434.722222222248092
-1,10075,573,4030.015706806282651,28546.746945898779813
-1,10081,1,2224200.000000000000000,0.000000000000000
-1,10096,1,1515117.000000000000000,2380.000000000000000
-1,10097,1,2438059.000000000000000,0.000000000000000
-1,10103,1,1246882.000000000000000,0.000000000000000
-1,10104,1,1899211.000000000000000,0.000000000000000
-1,10105,1,1931978.000000000000000,0.000000000000000
-1,10106,1,866359.000000000000000,0.000000000000000
-1,10107,1,435677.000000000000000,0.000000000000000
-1,10110,1,659122.000000000000000,0.000000000000000
-1,10112,2,1061950.500000000000000,0.000000000000000
-1,10115,1,571200.000000000000000,0.000000000000000
-1,10118,1,2812739.000000000000000,0.000000000000000
-1,10119,1,2689635.000000000000000,0.000000000000000
-1,10120,1,806417.000000000000000,0.000000000000000
-1,10122,1,461386.000000000000000,0.000000000000000
-1,10123,1,491253.000000000000000,0.000000000000000
-1,10128,1231,5177.454914703493159,29072.101543460601533
-1,10151,1,459340.000000000000000,0.000000000000000
-1,10152,1,849014.000000000000000,0.000000000000000
-1,10153,1,1824820.000000000000000,0.000000000000000
-1,10154,1,1712218.000000000000000,0.000000000000000
-1,10155,1,570453.000000000000000,0.000000000000000
-1,10158,1,898734.000000000000000,0.000000000000000
-1,10162,1,30000.000000000000000,227247.000000000000000
-1,10165,1,1150564.000000000000000,0.000000000000000
-1,10167,1,1586876.000000000000000,0.000000000000000
-1,10168,1,862071.000000000000000,0.000000000000000
-1,10169,1,1212596.000000000000000,0.000000000000000
-1,10170,1,1044054.000000000000000,0.000000000000000
-1,10171,1,1039281.000000000000000,0.000000000000000
-1,10172,1,1270270.000000000000000,0.000000000000000
-1,10174,2,523014.000000000000000,0.000000000000000
-1,10175,1,408911.000000000000000,0.000000000000000
-1,10176,1,427178.000000000000000,0.000000000000000
-1,10177,1,519783.000000000000000,0.000000000000000
-1,10178,1,1088389.000000000000000,0.000000000000000
-1,10196,1,1204839.000000000000000,0.000000000000000
-1,10203,1,758727.000000000000000,460388.000000000000000
-1,10259,1,1141276.000000000000000,0.000000000000000
-1,10260,1,1617206.000000000000000,0.000000000000000
-1,10265,1,30995.000000000000000,316775.000000000000000
-1,10270,1,46636.000000000000000,822905.000000000000000
-1,10271,1,1736513.000000000000000,0.000000000000000
-1,10275,1,809401.000000000000000,0.000000000000000
-1,10278,2,1279647.000000000000000,0.000000000000000
-1,10279,1,777049.000000000000000,6327.000000000000000
-1,10280,21,30920.857142857141298,252610.047619047632907
-1,10281,5,1618314.800000000046566,0.000000000000000
-1,10282,16,231728.500000000000000,215003.125000000000000
-1,10285,1,2233692.000000000000000,0.000000000000000
-1,10286,1,281755.000000000000000,0.000000000000000
-1,10301,7278,1038.998076394613918,2643.250206100577088
-1,10302,4024,632.489065606361805,1575.039512922465292
-1,10303,5135,867.132424537487850,1833.069133398247232
-1,10304,8395,555.646456223942778,2287.111137581894127
-1,10305,9760,491.120389344262321,1732.035348360655689
-1,10306,15307,284.675507937544921,1659.155223100542344
-1,10307,3835,235.013820078226871,2146.114993481095098
-1,10308,8119,226.478260869565219,1634.728045325779021
-1,10309,9033,655.328794420458280,2067.935569578213290
-1,10310,5822,827.008759876331169,1759.484369632428752
-1,10312,17515,157.484270625178425,1764.566600057093865
-1,10314,20118,730.674122676210345,1939.416840640222745
-1,10451,931,18804.792696025779151,19358.991407089150016
-1,10452,1311,5719.850495804728780,19965.355453852022038
-1,10453,1933,3182.109674081738376,14224.799793067770224
-1,10454,1485,6945.263973063973026,10157.105050505049803
-1,10455,1690,4145.247928994082940,8651.997041420117966
-1,10456,2652,3323.514328808446407,11932.207013574659868
-1,10457,2690,4020.855762081784178,9125.022304832713417
-1,10458,2540,3380.576377952756047,10783.540944881890027
-1,10459,2313,2355.457414613056699,7148.810635538262432
-1,10460,2635,2243.070588235294053,8038.467931688804128
-1,10461,7314,2117.351517637407596,2668.057424118129802
-1,10462,4281,1832.878299462742461,6313.220275636533188
-1,10463,2313,3352.409857328145335,14643.948119325550579
-1,10464,1285,723.645914396887179,1902.031906614786067
-1,10465,7707,553.238095238095184,1984.740106396782039
-1,10466,8983,649.186908605143003,2549.564510742513448
-1,10467,4575,1965.994316939890723,8147.048743169399131
-1,10468,1463,6516.883800410116237,17188.593301435405010
-1,10469,10704,481.445534379671130,1978.061005231689023
-1,10470,2168,649.890682656826584,3007.321033210332189
-1,10471,2027,2036.083374444992614,6270.712876171682183
-1,10472,4211,872.585371645689861,4851.485870339586654
-1,10473,4532,1253.910414827890463,4883.475948808472822
-1,10474,1032,12173.302325581395053,3713.489341085271462
-1,10475,666,14573.136636636636467,31209.975975975976326
-1,11001,1146,114.900523560209422,1468.769633507853314
-1,11004,2390,366.571129707112959,2086.810878661087827
-1,11005,9,368870.555555555562023,320796.555555555562023
-1,11040,570,169.812280701754389,1889.770175438596425
-1,11096,25,331.199999999999989,992.639999999999986
-1,11101,2843,15269.685895181146407,8151.628913119943718
-1,11102,2733,1235.691181851445208,5091.426637394803947
-1,11103,4411,823.743822262525555,3194.036726365903633
-1,11104,1626,1107.785362853628612,6202.616851168511857
-1,11105,5468,981.417337234820820,2523.056510607169002
-1,11106,3058,2196.273381294964111,5174.355788096795550
-1,11109,7,34538.571428571427532,304373.571428571420256
-1,11201,3272,12315.081295843519911,11316.757334963325775
-1,11203,10881,1099.521367521367438,2403.697178568146228
-1,11204,9429,665.089723194400221,2853.593912397921486
-1,11205,2898,3495.908212560386346,6396.147342995169311
-1,11206,4393,3224.195538356476391,7475.061689050762652
-1,11207,10662,1246.478803226411628,2945.643781654473969
-1,11208,10596,964.683559833899608,2544.549263873159816
-1,11209,8499,881.444169902341400,3943.806094834686519
-1,11210,8586,857.752387607733567,3224.168996040065394
-1,11211,5136,1942.109618380062329,5106.808411214953594
-1,11212,6041,1598.951498096341766,4879.667604701208802
-1,11213,4813,1254.417826719301956,5191.961354664450482
-1,11214,9240,750.192424242424295,3377.724242424242220
-1,11215,8668,1271.186778957083561,3410.202699584679067
-1,11216,5820,1064.565292096219991,3938.604467353951804
-1,11217,4039,2795.260460510027315,4970.910126268878230
-1,11218,6565,901.647067783701459,4059.844173648134074
